FreqItem,Antecedent(a),,Consequent(c),P(a)%,P(c)%,Sup(a,c)%,Conf.%,Leverage,Lift,Conviction,All-Confid (%),
AE,A,->,E,16.18671,99.78203,16.18671,100,0.0003528286,1.002185,Infinity,16.22207,
AE,E,->,A,99.78203,16.18671,16.18671,16.22207,0.0003528286,1.002185,1.000422,16.22207,
BE,B,->,E,22.97932,99.78203,22.96869,99.95373,0.0003945552,1.001721,4.710661,23.01886,
BE,E,->,B,99.78203,22.97932,22.96869,23.01886,0.0003945552,1.001721,1.000514,23.01886,
DE,D,->,E,17.04088,99.78203,17.03025,99.93761,0.0002651275,1.001559,3.493539,17.06745,
DE,E,->,D,99.78203,17.04088,17.03025,17.06745,0.0002651275,1.001559,1.00032,17.06745,
AJ,A,->,J,16.18671,99.53038,16.18671,100,0.0007601588,1.004718,Infinity,16.26309,
AJ,J,->,A,99.53038,16.18671,16.18671,16.26309,0.0007601588,1.004718,1.000912,16.26309,
BJ,B,->,J,22.97932,99.53038,22.91907,99.73779,0.0004766241,1.002084,1.791015,23.02721,
BJ,J,->,B,99.53038,22.97932,22.91907,23.02721,0.0004766241,1.002084,1.000622,23.02721,
DJ,D,->,J,17.04088,99.53038,16.99835,99.75042,0.0003749634,1.002211,1.881625,17.07856,
DJ,J,->,D,99.53038,17.04088,16.99835,17.07856,0.0003749634,1.002211,1.000454,17.07856,
EJ,E,->,J,99.78203,99.53038,99.52684,99.74426,0.0021341,1.002149,1.83627,99.74426,
EJ,J,->,E,99.53038,99.78203,99.52684,99.99644,0.0021341,1.002149,61.17807,99.74426,
AEJ,A,->,EJ,16.18671,99.52684,16.18671,100,0.0007658898,1.004754,Infinity,16.22207,
AEJ,E,->,AJ,99.78203,16.18671,16.18671,16.22207,0.0003528286,1.002185,1.000422,16.22207,
AEJ,AE,->,J,16.18671,99.53038,16.18671,100,0.0007601588,1.004718,Infinity,16.22207,
AEJ,J,->,AE,99.53038,16.18671,16.18671,16.26309,0.0007601588,1.004718,1.000912,16.22207,
AEJ,AJ,->,E,16.18671,99.78203,16.18671,100,0.0003528286,1.002185,Infinity,16.22207,
AEJ,EJ,->,A,99.52684,16.18671,16.18671,16.26367,0.0007658898,1.004754,1.000919,16.22207,
BEJ,B,->,EJ,22.97932,99.52684,22.91907,99.73779,0.00048476,1.00212,1.804532,22.96913,
BEJ,E,->,BJ,99.78203,22.91907,22.91907,22.96913,0.0004995765,1.002185,1.00065,22.96913,
BEJ,BE,->,J,22.96869,99.53038,22.91907,99.78397,0.0005824594,1.002548,2.17381,22.96913,
BEJ,J,->,BE,99.53038,22.96869,22.91907,23.02721,0.0005824594,1.002548,1.00076,22.96913,
BEJ,BJ,->,E,22.91907,99.78203,22.91907,100,0.0004995765,1.002185,Infinity,22.96913,
BEJ,EJ,->,B,99.52684,22.97932,22.91907,23.02803,0.00048476,1.00212,1.000633,22.96913,
DEJ,D,->,EJ,17.04088,99.52684,16.99835,99.75042,0.0003809967,1.002246,1.895826,17.03548,
DEJ,E,->,DJ,99.78203,16.99835,16.99835,17.03548,0.0003705202,1.002185,1.000448,17.03548,
DEJ,DE,->,J,17.03025,99.53038,16.99835,99.8127,0.0004807838,1.002836,2.507275,17.03548,
DEJ,J,->,DE,99.53038,17.03025,16.99835,17.07856,0.0004807838,1.002836,1.000583,17.03548,
DEJ,DJ,->,E,16.99835,99.78203,16.99835,100,0.0003705202,1.002185,Infinity,17.03548,
DEJ,EJ,->,D,99.52684,17.04088,16.99835,17.07916,0.0003809967,1.002246,1.000462,17.03548,
AK,A,->,K,16.18671,99.91317,16.18671,100,0.0001405525,1.000869,Infinity,16.20078,
AK,K,->,A,99.91317,16.18671,16.18671,16.20078,0.0001405525,1.000869,1.000168,16.20078,
BK,B,->,K,22.97932,99.91317,22.97932,100,0.0001995341,1.000869,Infinity,22.99929,
BK,K,->,B,99.91317,22.97932,22.97932,22.99929,0.0001995341,1.000869,1.000259,22.99929,
DK,D,->,K,17.04088,99.91317,17.04088,100,0.0001479695,1.000869,Infinity,17.05569,
DK,K,->,D,99.91317,17.04088,17.04088,17.05569,0.0001479695,1.000869,1.000178,17.05569,
EK,E,->,K,99.78203,99.91317,99.78203,100,0.0008664277,1.000869,Infinity,99.86875,
EK,K,->,E,99.91317,99.78203,99.78203,99.86875,0.0008664277,1.000869,1.660766,99.86875,
AEK,A,->,EK,16.18671,99.78203,16.18671,100,0.0003528286,1.002185,Infinity,16.20078,
AEK,E,->,AK,99.78203,16.18671,16.18671,16.22207,0.0003528286,1.002185,1.000422,16.20078,
AEK,AE,->,K,16.18671,99.91317,16.18671,100,0.0001405525,1.000869,Infinity,16.20078,
AEK,K,->,AE,99.91317,16.18671,16.18671,16.20078,0.0001405525,1.000869,1.000168,16.20078,
AEK,AK,->,E,16.18671,99.78203,16.18671,100,0.0003528286,1.002185,Infinity,16.20078,
AEK,EK,->,A,99.78203,16.18671,16.18671,16.22207,0.0003528286,1.002185,1.000422,16.20078,
BEK,B,->,EK,22.97932,99.78203,22.96869,99.95373,0.0003945552,1.001721,4.710661,22.98865,
BEK,E,->,BK,99.78203,22.97932,22.96869,23.01886,0.0003945552,1.001721,1.000514,22.98865,
BEK,BE,->,K,22.96869,99.91317,22.96869,100,0.0001994418,1.000869,Infinity,22.98865,
BEK,K,->,BE,99.91317,22.96869,22.96869,22.98865,0.0001994418,1.000869,1.000259,22.98865,
